epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,640.469,1.4608,3.83798,1.26124,0.7445,0.13798,0.18701,0.13532,1.05244,2.97295,0.98567,0.000121711,0.000121711,0.000121711
2,1274.81,1.24809,2.06219,1.18547,0.54246,0.60248,0.5711,0.4002,1.06858,1.35486,1.19148,0.000240192,0.000240192,0.000240192
3,1899.58,1.16296,1.36114,1.19509,0.73771,0.82033,0.8605,0.63036,0.99732,0.9861,1.14155,0.000353789,0.000353789,0.000353789
4,2522.29,1.14181,1.1333,1.18519,0.83432,0.86915,0.9236,0.66716,1.00991,0.84101,1.12277,0.000348022,0.000348022,0.000348022
5,3147.37,1.0806,0.9975,1.14955,0.91147,0.94304,0.9603,0.7158,0.95088,0.71306,1.07093,0.000340696,0.000340696,0.000340696
6,3769.96,1.06544,0.93963,1.13279,0.93882,0.95913,0.97504,0.72803,0.94885,0.68063,1.07962,0.00033337,0.00033337,0.00033337
7,4392.65,1.05479,0.90044,1.12259,0.92342,0.9732,0.98363,0.75028,0.94275,0.66506,1.06917,0.000326044,0.000326044,0.000326044
8,5013.78,1.02984,0.85612,1.11335,0.96346,0.95812,0.98121,0.73798,0.94981,0.62646,1.07072,0.000318718,0.000318718,0.000318718
9,5647.62,1.00782,0.826,1.09703,0.95715,0.97282,0.98492,0.73069,0.95709,0.60414,1.07731,0.000311392,0.000311392,0.000311392
10,6305.71,0.99918,0.79903,1.08549,0.91829,0.98299,0.98316,0.74718,0.94129,0.59181,1.04883,0.000304066,0.000304066,0.000304066
11,7080.86,1.00336,0.78371,1.0934,0.96332,0.98315,0.98388,0.74515,0.93202,0.57707,1.05549,0.00029674,0.00029674,0.00029674
12,7887.42,0.97928,0.77033,1.08206,0.97035,0.98345,0.98412,0.70402,1.01703,0.58642,1.06853,0.000289414,0.000289414,0.000289414
13,8750.69,0.98157,0.74981,1.0821,0.97006,0.98232,0.98318,0.75046,0.92182,0.55663,1.05805,0.000282088,0.000282088,0.000282088
14,9412.28,0.97259,0.73122,1.076,0.97276,0.98653,0.9824,0.74533,0.91686,0.55675,1.04169,0.000274762,0.000274762,0.000274762
15,10107.8,0.95892,0.72203,1.06949,0.96757,0.98591,0.98403,0.74858,0.91984,0.53698,1.04551,0.000267436,0.000267436,0.000267436
16,10825,0.9536,0.7027,1.06758,0.96626,0.98232,0.98496,0.75034,0.93704,0.52786,1.05313,0.00026011,0.00026011,0.00026011
17,11449.2,0.95131,0.69692,1.06765,0.96634,0.97893,0.98527,0.75461,0.9171,0.53331,1.04471,0.000252784,0.000252784,0.000252784
18,12071.6,0.95161,0.69226,1.06424,0.96548,0.98302,0.98513,0.75278,0.92283,0.52147,1.03598,0.000245458,0.000245458,0.000245458
19,12692.6,0.93318,0.68337,1.05671,0.97118,0.98346,0.98375,0.7563,0.90989,0.51367,1.04328,0.000238132,0.000238132,0.000238132
20,13312.7,0.93191,0.67471,1.05174,0.97158,0.98212,0.98384,0.74961,0.91425,0.52046,1.03042,0.000230806,0.000230806,0.000230806
21,13936.6,0.93145,0.66524,1.05864,0.96941,0.97987,0.98583,0.74255,0.92119,0.50923,1.03211,0.00022348,0.00022348,0.00022348
22,14559.7,0.92891,0.64702,1.05314,0.9666,0.98361,0.98442,0.7367,0.97148,0.52056,1.05352,0.000216154,0.000216154,0.000216154
23,15177.1,0.93056,0.6495,1.06013,0.94924,0.98537,0.98496,0.74787,0.92948,0.50371,1.03839,0.000208828,0.000208828,0.000208828
24,15800.5,0.91561,0.63882,1.04226,0.97004,0.98098,0.98432,0.75232,0.91257,0.50169,1.03793,0.000201502,0.000201502,0.000201502
25,16420.7,0.91331,0.63654,1.05166,0.95482,0.98181,0.98401,0.75284,0.91087,0.499,1.04331,0.000194176,0.000194176,0.000194176
26,17038.4,0.91468,0.6375,1.04607,0.97325,0.98467,0.98453,0.74967,0.92629,0.49508,1.03423,0.00018685,0.00018685,0.00018685
27,17656.3,0.92205,0.62966,1.05098,0.96871,0.98409,0.98519,0.7548,0.90511,0.48947,1.0492,0.000179524,0.000179524,0.000179524
28,18275.1,0.91245,0.62698,1.04484,0.96488,0.96452,0.98356,0.75265,0.89773,0.48599,1.0354,0.000172198,0.000172198,0.000172198
29,18891.3,0.89796,0.60774,1.04111,0.96738,0.97906,0.98449,0.75525,0.91453,0.48356,1.04283,0.000164872,0.000164872,0.000164872
30,19512.6,0.88992,0.60954,1.03863,0.96626,0.98133,0.98269,0.76247,0.90931,0.48206,1.03051,0.000157546,0.000157546,0.000157546
31,20131,0.90268,0.61344,1.03802,0.9699,0.98637,0.98344,0.75068,0.93933,0.47979,1.04402,0.00015022,0.00015022,0.00015022
32,20748.5,0.88301,0.60445,1.03021,0.96383,0.9816,0.98366,0.74534,0.932,0.4821,1.03863,0.000142894,0.000142894,0.000142894
33,21366.9,0.88483,0.60622,1.03911,0.96242,0.98026,0.98411,0.75793,0.90634,0.47434,1.03321,0.000135568,0.000135568,0.000135568
34,21985.9,0.87113,0.58704,1.02525,0.95887,0.98357,0.98554,0.75961,0.90299,0.46759,1.03621,0.000128242,0.000128242,0.000128242
35,22602.2,0.87454,0.57723,1.02653,0.96902,0.97693,0.98428,0.75859,0.90194,0.46637,1.03183,0.000120916,0.000120916,0.000120916
36,23223.1,0.86855,0.57761,1.02472,0.97635,0.98257,0.98395,0.76151,0.89472,0.45922,1.03191,0.00011359,0.00011359,0.00011359
37,23841.7,0.85926,0.56685,1.01785,0.97697,0.98146,0.98461,0.76285,0.90761,0.45797,1.03206,0.000106264,0.000106264,0.000106264
38,24459.7,0.85841,0.56706,1.02296,0.96851,0.98373,0.98397,0.76119,0.90498,0.46423,1.03498,9.8938e-05,9.8938e-05,9.8938e-05
39,25079.6,0.8519,0.56506,1.02067,0.97328,0.98257,0.98401,0.76224,0.89652,0.45468,1.03673,9.1612e-05,9.1612e-05,9.1612e-05
40,25700.7,0.85868,0.56444,1.02022,0.9748,0.9826,0.98557,0.75898,0.90717,0.458,1.03496,8.4286e-05,8.4286e-05,8.4286e-05
41,26307.1,0.83902,0.55494,1.01287,0.9637,0.97868,0.98495,0.75313,0.92154,0.47728,1.04219,7.696e-05,7.696e-05,7.696e-05
42,26911.5,0.8217,0.52478,1.00465,0.97535,0.97964,0.98363,0.75672,0.90995,0.46856,1.04607,6.9634e-05,6.9634e-05,6.9634e-05
43,27516.2,0.81445,0.51415,1.00414,0.96847,0.97645,0.98401,0.75469,0.90687,0.466,1.03851,6.2308e-05,6.2308e-05,6.2308e-05
44,28119.8,0.80854,0.50366,0.99605,0.9702,0.97991,0.98364,0.75733,0.89854,0.45953,1.03809,5.4982e-05,5.4982e-05,5.4982e-05
45,28733.2,0.80127,0.50213,0.99599,0.96716,0.98169,0.98417,0.75808,0.90032,0.45739,1.03673,4.7656e-05,4.7656e-05,4.7656e-05
46,29383.3,0.79694,0.49493,0.99123,0.96427,0.9842,0.98477,0.75581,0.90415,0.45447,1.03993,4.033e-05,4.033e-05,4.033e-05
47,30125.4,0.79012,0.48962,0.98753,0.96755,0.98251,0.9839,0.75708,0.90442,0.4577,1.03284,3.3004e-05,3.3004e-05,3.3004e-05
48,30762.6,0.79403,0.4892,0.98757,0.97028,0.98322,0.98335,0.7558,0.90115,0.45321,1.03633,2.5678e-05,2.5678e-05,2.5678e-05
49,31379.1,0.78357,0.48259,0.98798,0.96904,0.98265,0.98352,0.7578,0.90427,0.45212,1.04,1.8352e-05,1.8352e-05,1.8352e-05
50,31988.5,0.78245,0.4831,0.98284,0.96497,0.98259,0.98343,0.75948,0.90335,0.4534,1.03443,1.1026e-05,1.1026e-05,1.1026e-05
